order_id,customer_id,product_id,quantity,amount,order_date,status
1,82,15,1,373.36,2025-10-10,shipped
2,18,95,2,341.58,2025-05-09,pending
3,76,55,1,24.6,2025-10-24,shipped
4,65,78,1,285.01,2025-03-17,cancelled
5,29,58,10,146.31,2026-02-09,shipped
6,90,55,6,146.16,2025-10-25,delivered
7,14,12,7,57.39,2025-08-20,delivered
8,6,94,8,272.75,2025-08-03,pending
9,71,38,10,443.87,2025-08-11,shipped
10,91,9,1,334.02,2025-09-17,pending
11,30,13,7,146.21,2025-03-24,delivered
12,21,48,6,112.66,2025-09-29,pending
13,78,82,3,271.73,2025-10-10,shipped
14,60,49,5,494.87,2025-03-22,shipped
15,88,42,1,122.23,2026-01-27,delivered
16,52,35,2,113.38,2025-04-28,delivered
17,28,84,8,203.86,2025-03-20,cancelled
18,19,34,3,130.85,2025-05-01,delivered
19,96,75,7,449.93,2025-07-23,delivered
20,29,18,9,251.82,2026-01-19,pending
21,20,81,3,398.12,2025-07-11,pending
22,50,49,10,498.1,2025-05-18,delivered
23,71,2,2,344.04,2025-05-14,delivered
24,99,83,6,64.66,2025-07-05,shipped
25,59,1,5,486.23,2025-11-13,pending
26,81,39,9,308.4,2025-11-26,delivered
27,98,21,9,477.21,2025-05-17,pending
28,77,42,8,19.54,2025-08-11,delivered
29,31,8,4,440.22,2026-01-03,pending
30,94,63,2,489.21,2025-05-16,shipped
31,17,85,8,473.96,2025-11-20,delivered
32,68,78,7,482.54,2025-05-12,shipped
33,92,40,7,497.62,2025-03-17,delivered
34,57,67,8,69.29,2025-10-20,pending
35,44,3,10,281.42,2025-04-17,shipped
36,1,10,1,122.18,2026-01-27,delivered
37,10,66,4,146.45,2025-06-09,shipped
38,70,17,10,292.34,2025-10-11,cancelled
39,53,25,2,57.5,2025-07-07,delivered
40,55,53,8,433.28,2026-01-16,pending
41,8,52,6,402.29,2025-12-19,shipped
42,25,25,9,229.82,2025-07-11,shipped
43,36,60,4,438.5,2026-01-05,cancelled
44,71,13,1,329.55,2025-05-12,pending
45,12,97,4,91.49,2025-06-09,cancelled
46,28,52,1,90.67,2026-02-11,cancelled
47,34,59,5,217.27,2025-05-04,cancelled
48,20,25,5,116.67,2026-01-14,pending
49,96,41,1,34.57,2025-06-13,shipped
50,8,66,2,427.16,2026-01-08,pending
51,87,31,7,68.74,2025-04-27,shipped
52,75,77,1,313.5,2025-07-13,delivered
53,34,27,6,126.96,2025-07-25,shipped
54,86,83,5,234.04,2026-01-06,pending
55,59,80,10,498.09,2026-01-06,shipped
56,65,34,3,467.3,2026-01-08,shipped
57,48,37,3,224.71,2025-05-10,delivered
58,79,84,9,13.83,2025-05-05,delivered
59,85,14,3,139.59,2025-12-20,shipped
60,35,37,10,113.21,2025-08-21,shipped
61,88,82,5,257.65,2025-10-07,pending
62,12,82,7,416.38,2026-01-21,pending
63,43,99,3,322.19,2025-10-01,shipped
64,95,57,9,355.78,2025-05-01,pending
65,15,10,3,277.34,2025-08-07,shipped
66,56,17,1,161.05,2026-01-23,delivered
67,27,88,4,336.8,2025-08-15,cancelled
68,80,96,3,463.62,2025-10-14,shipped
69,23,53,1,97.89,2025-08-26,cancelled
70,86,95,4,140.73,2025-02-18,pending
71,49,5,8,118.99,2025-06-22,delivered
72,40,30,4,21.6,2025-11-06,cancelled
73,43,36,2,483.78,2025-09-23,delivered
74,83,66,7,342.96,2025-05-14,delivered
75,4,15,5,97.5,2025-09-30,pending
76,14,77,7,179.39,2025-09-05,cancelled
77,78,66,2,198.75,2025-04-23,shipped
78,33,6,7,10.83,2025-05-13,shipped
79,47,56,2,474.95,2025-08-27,delivered
80,85,16,5,258.49,2025-03-08,cancelled
81,42,52,5,281.66,2025-11-06,cancelled
82,86,49,3,311.6,2025-09-11,cancelled
83,71,1,5,150.59,2025-07-07,delivered
84,60,57,8,341.06,2025-05-27,cancelled
85,95,22,2,149.06,2025-03-10,delivered
86,12,97,4,339.67,2025-10-20,shipped
87,19,4,1,129.97,2025-06-14,pending
88,59,54,10,105.27,2025-02-21,cancelled
89,64,52,4,82.31,2025-02-25,pending
90,97,99,2,391.43,2025-10-23,shipped
91,90,67,8,34.61,2025-10-08,pending
92,59,18,8,337.11,2025-05-02,delivered
93,97,57,10,409.35,2025-05-30,cancelled
94,71,58,3,374.39,2025-06-14,cancelled
95,34,97,4,421.53,2025-09-24,cancelled
96,81,31,5,225.54,2025-02-12,delivered
97,31,35,6,166.66,2025-05-12,pending
98,18,20,4,197.69,2025-11-26,shipped
99,9,54,7,172.13,2025-06-19,cancelled
100,8,27,7,200.84,2025-04-19,pending
101,98,74,7,243.72,2025-08-16,delivered
102,97,50,7,273.73,2025-05-09,shipped
103,63,29,5,223.56,2026-01-29,cancelled
104,44,86,7,364.85,2025-06-18,shipped
105,80,69,1,454.4,2025-04-15,pending
106,11,83,7,76.49,2025-06-21,shipped
107,7,34,7,170.4,2025-06-25,delivered
108,44,98,7,146.35,2025-07-12,delivered
109,11,61,1,377.02,2026-01-17,delivered
110,29,84,2,392.8,2025-03-16,pending
111,97,4,4,107.69,2026-02-02,shipped
112,31,17,8,338.03,2025-04-30,shipped
113,60,90,5,385.78,2025-11-19,pending
114,100,21,5,62.97,2026-01-30,delivered
115,74,87,7,204.36,2025-11-03,pending
116,76,89,4,59.93,2025-09-11,pending
117,73,6,6,271.05,2025-03-11,delivered
118,9,65,6,16.2,2025-07-12,cancelled
119,14,56,6,321.44,2025-06-22,shipped
120,56,23,9,483.08,2025-09-27,cancelled
121,60,56,10,141.51,2025-10-10,pending
122,36,58,4,377.73,2025-04-27,cancelled
123,44,4,8,426.97,2025-11-11,cancelled
124,28,46,5,176.77,2025-04-13,delivered
125,72,2,9,474.55,2025-12-31,shipped
126,93,53,8,282.04,2025-10-12,cancelled
127,83,92,8,229.61,2026-02-04,pending
128,38,29,7,348.98,2025-09-09,delivered
129,61,71,9,178.44,2025-05-07,delivered
130,46,90,8,142.75,2025-10-07,shipped
131,16,93,4,164.62,2025-05-14,shipped
132,25,28,8,145.48,2025-04-17,delivered
133,13,25,5,121.47,2025-11-13,delivered
134,2,91,9,72.03,2026-01-20,pending
135,71,38,3,322.56,2025-06-06,pending
136,2,74,5,240.0,2025-07-02,delivered
137,24,7,5,471.12,2025-06-13,pending
138,9,52,8,46.3,2025-03-27,pending
139,20,20,10,475.07,2025-12-31,shipped
140,16,72,7,307.1,2025-04-02,shipped
141,100,67,7,230.75,2025-07-01,delivered
142,76,55,5,288.63,2026-01-13,pending
143,98,27,4,139.68,2026-01-02,shipped
144,31,23,9,46.78,2026-02-11,cancelled
145,58,89,10,240.26,2026-01-27,shipped
146,37,91,5,354.46,2025-06-25,pending
147,88,30,5,396.04,2025-03-29,shipped
148,55,15,9,120.16,2025-11-28,delivered
149,19,10,1,91.3,2025-09-08,delivered
150,57,16,8,347.45,2025-02-19,cancelled
151,35,65,9,251.96,2026-01-02,pending
152,56,95,6,305.82,2026-01-30,pending
153,30,87,10,297.69,2026-02-02,delivered
154,74,6,3,240.55,2025-03-16,cancelled
155,36,24,10,223.58,2025-06-06,pending
156,61,45,7,173.32,2025-03-06,pending
157,21,43,7,349.9,2025-09-18,cancelled
158,98,71,1,232.86,2025-09-04,delivered
159,42,15,7,433.81,2026-02-12,cancelled
160,53,7,4,264.04,2025-03-31,cancelled
161,81,57,1,109.74,2025-05-07,shipped
162,37,57,8,69.5,2025-03-27,shipped
163,91,21,5,279.91,2025-05-06,cancelled
164,12,29,2,236.11,2025-12-14,shipped
165,64,92,5,259.35,2025-09-26,cancelled
166,62,61,4,233.83,2025-11-30,cancelled
167,25,77,9,375.68,2025-12-05,pending
